z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,O2,H2O,H,O,OH,HO2,H2O2,N2 
0.0108955078125,12.672823950179641,0.0,1855.8258124860215,0.1539641807988792,0.0033915805215754677,0.030063445053229776,0.20432631232286785,0.0011392694602343938,0.004798558183112753,0.011242983877722509,1.1751711435956064e-05,8.54626896604241e-06,0.745017552596085
0.0108984375,12.688120225409696,0.0,1858.3057420038524,0.15377856792278463,0.0033872324082733834,0.029957811436556857,0.20444661765134864,0.0011328423924001558,0.004778518835713504,0.011257069798728177,1.1675078672931087e-05,8.468211982361563e-06,0.74501976418155
0.0109013671875,12.703248915444876,0.0,1860.759929444196,0.15359542829403222,0.003382924220986724,0.02985382078927322,0.2045656076863172,0.0011264830430041946,0.004758594036132966,0.01127068827499539,1.159963612232837e-05,8.391029250913349e-06,0.7450218912791393
0.010904296875,12.718212978038204,0.0,1863.1888084180327,0.15341471016884023,0.003378653401669837,0.02975141328062952,0.20468332677217846,0.0011201906716160927,0.004738785113178241,0.011283852544326858,1.1525349875415336e-05,8.314721216731743e-06,0.7450239381405274
0.0109072265625,12.733015294154995,0.0,1865.5928018126656,0.15323636332902846,0.0033744175757086177,0.02965053218930382,0.2047998168154981,0.0011139645281156559,0.0047190932464481646,0.011296575387702377,1.1452187583491293e-05,8.2392873949666e-06,0.7450259087774596
0.01091015625,12.747658670219911,0.0,1867.9723220907126,0.15306033902878843,0.0033702145395835613,0.029551123729247147,0.2049151174325862,0.0011078038545545704,0.004699519474927009,0.011308869145254285,1.138011836713612e-05,8.164726442849167e-06,0.7450278069742483
0.0109130859375,12.762145840270037,0.0,1870.3277715766137,0.15288658994385887,0.0033660422493324584,0.02945313688557427,0.20502926608785824,0.0011017078868646583,0.004680064705205472,0.01132074573186077,1.1309112731451762e-05,8.091036227547993e-06,0.7450296362995524
0.010916015625,12.776479468015488,0.0,1872.6595427310367,0.15271507012300145,0.0033618988097644433,0.029356523259968636,0.20514229822349964,0.0010956758564231034,0.004660729719344661,0.011332216652348822,1.1239142486899158e-05,8.018213890107445e-06,0.7450314001174773
0.010918945312500001,12.790662148811172,0.0,1874.968018413534,0.15254573494167648,0.0033577824643802037,0.029261236925104364,0.20525424738092937,0.0010897069914842944,0.004641515182400221,0.01134329301630873,1.1170180675360349e-05,7.946255905663212e-06,0.7450331015980116
0.010921875,12.80469641154186,0.0,1877.2535721337738,0.15237854105782503,0.0033536915859558075,0.02916723428759974,0.20536514531452332,0.001083800518487312,0.004622421649623815,0.011353985552526438,1.1102201501073141e-05,7.87515814012473e-06,0.7450347437268384
